First.name;Last.name;GP ;Sub ;G ;A ;YC ;RC ;Min ;Con ;CS ;Team
Kyriakos;Stamatopoulos;8;0;0;0;1;0;720;13;0;AIK
Lee;Baxter;0;0;0;0;0;0;0;0;0;AIK
Patrik;Carlgren;22;0;0;0;0;0;1980;28;7;AIK
Alexander;Milosevic;27;0;3;2;3;0;2378;-;-;AIK
Edward;Owusu;0;0;0;0;0;0;0;-;-;AIK
Martin;Lorentzson;28;0;3;2;2;0;2356;-;-;AIK
Nils-Eric;Johansson;27;0;2;3;6;0;2430;-;-;AIK
Noah;Sonko-Sundberg;5;1;1;0;1;0;365;-;-;AIK
Per;Karlsson;26;0;0;1;2;1;2307;-;-;AIK
Sauli;Väisänen;6;2;0;0;0;1;432;-;-;AIK
Anton;Salétros;15;12;0;0;0;0;408;-;-;AIK
Celso;Borges;26;0;6;9;5;0;2297;-;-;AIK
Ebenezer;Ofori;23;1;1;4;4;0;1742;-;-;AIK
Gabriel;Ferreyra;2;1;0;0;0;0;103;-;-;AIK
Ibrahim;Moro;23;1;2;4;8;0;1911;-;-;AIK
Kenny;Pavey;19;13;1;2;6;0;678;-;-;AIK
Lalawele;Atakora;2;1;0;0;1;0;87;-;-;AIK
Marko;Nikolic;9;9;0;0;0;0;102;-;-;AIK
Nabil;Bahoui;26;0;14;7;4;0;2280;-;-;AIK
Nicklas;Maripuu;0;0;0;0;0;0;0;-;-;AIK
Niclas;Eliasson;16;10;1;0;0;0;545;-;-;AIK
Panajotis;Dimitriadis;6;1;0;0;1;0;479;-;-;AIK
Robin;Quaison;10;2;1;3;1;0;740;-;-;AIK
Sam;Lundholm;12;7;1;1;0;0;601;-;-;AIK
Eero;Markkanen;14;5;6;1;1;0;759;-;-;AIK
Henok;Goitom;28;1;12;4;2;0;2316;-;-;AIK
Ibrahim;Teteh-Bangura;0;0;0;0;0;0;0;-;-;AIK
Kennedy;Igboananike;25;9;5;3;0;0;1514;-;-;AIK
Kwame;Karikari;4;4;0;0;0;0;90;-;-;AIK
Christoffer;Källqvist;30;0;0;0;1;0;2700;44;3;BK Häcken
Dime;Jankulovski;-;-;-;-;-;-;-;-;-;BK Häcken
Peter;Abrahamsson;0;0;0;0;0;0;0;0;0;BK Häcken
Teodor;Söderberg;-;-;-;-;-;-;-;-;-;BK Häcken
Björn;Anklev;25;12;3;2;1;0;1319;-;-;BK Häcken
David;Frölund;24;0;1;3;3;0;2105;-;-;BK Häcken
Egzon;Binaku;-;-;-;-;-;-;-;-;-;BK Häcken
Emil;Wahlström;20;0;0;0;2;0;1763;-;-;BK Häcken
Fredrik;Björck;6;5;0;0;0;0;153;-;-;BK Häcken
Kari;Arkivuo;25;1;1;5;0;0;2098;-;-;BK Häcken
Leonard;Zuta;19;6;0;1;3;1;1150;-;-;BK Häcken
Ronald;Mukiibi;1;1;0;0;1;0;45;-;-;BK Häcken
Simon;Sandberg;15;2;0;0;1;0;1211;-;-;BK Häcken
Walid;Atta;26;0;0;1;3;1;2226;-;-;BK Häcken
Hosam;Aiesh;1;1;0;0;0;0;8;-;-;BK Häcken
Ivo;Pekalski;13;6;0;2;1;0;667;-;-;BK Häcken
Martin;Ericsson;26;1;7;7;6;0;2015;-;-;BK Häcken
Nasiru;Mohammed;24;8;8;3;1;0;1425;-;-;BK Häcken
Oscar;Lewicki;27;0;0;2;5;0;2316;-;-;BK Häcken
René;Makondele;26;2;6;1;3;0;2065;-;-;BK Häcken
Richard;Donkor;0;0;0;0;0;0;0;-;-;BK Häcken
Samuel;Gustafson;21;11;3;3;1;0;935;-;-;BK Häcken
Sebastian;Ohlsson;2;2;0;0;0;0;23;-;-;BK Häcken
Simon;Gustafson;28;1;10;5;7;0;2353;-;-;BK Häcken
Sula;Matovu;0;0;0;0;0;0;0;-;-;BK Häcken
Alexander;Jeremejeff;17;9;3;1;1;0;813;-;-;BK Häcken
Augustine;Okrah;1;1;0;0;0;0;5;-;-;BK Häcken
Carlos;Strandberg;19;15;6;5;0;0;821;-;-;BK Häcken
Gunnar;Thorvaldsson;13;4;2;3;0;0;691;-;-;BK Häcken
Moestafa;El-Kabir;10;1;7;1;4;0;629;-;-;BK Häcken
Hampus;Nilsson;0;0;0;0;0;0;0;0;0;Djurgårdens IF
Kenneth;Høie;30;0;0;0;0;0;2669;33;11;Djurgårdens IF
Emil;Bergström;30;0;2;1;0;0;2649;-;-;Djurgårdens IF
Fredrik;Stenman;13;0;0;0;1;0;1170;-;-;Djurgårdens IF
Frej;Engberg;0;0;0;0;0;0;0;-;-;Djurgårdens IF
Jakob;Glasberg;0;0;0;0;0;0;0;-;-;Djurgårdens IF
Jesper;Arvidsson;20;1;1;1;5;0;1651;-;-;Djurgårdens IF
Mattias;Östberg;4;1;0;0;1;0;327;-;-;Djurgårdens IF
Philip;Sparrdal-Mantilla;0;0;0;0;0;0;0;-;-;Djurgårdens IF
Stefan;Karlsson;30;0;0;9;1;0;2609;-;-;Djurgårdens IF
Vytautas;Andriuskevicius;15;1;0;0;1;0;1261;-;-;Djurgårdens IF
Alexander;Faltsetas;26;0;2;1;3;2;2180;-;-;Djurgårdens IF
Andreas;Johansson;21;7;1;1;1;0;1203;-;-;Djurgårdens IF
Christian;Sivodedov;6;6;0;0;1;0;62;-;-;Djurgårdens IF
Daniel;Amartey;11;0;0;0;2;0;880;-;-;Djurgårdens IF
Haris;Radetinac;24;3;6;6;2;0;1845;-;-;Djurgårdens IF
Mark;Mayambela;15;13;1;3;1;0;279;-;-;Djurgårdens IF
Martin;Broberg;27;6;4;3;1;0;1699;-;-;Djurgårdens IF
Nahir;Oyal;-;-;-;-;-;-;-;-;-;Djurgårdens IF
Simon;Tibbling;30;0;1;4;1;0;2642;-;-;Djurgårdens IF
Xolani;Mdaki;0;0;0;0;0;0;0;-;-;Djurgårdens IF
Yussif;Chibsah;10;5;0;0;1;1;500;-;-;Djurgårdens IF
Aleksandar;Prijovic;17;8;5;1;0;0;862;-;-;Djurgårdens IF
Amadou;Jawo;29;2;6;3;0;0;2238;-;-;Djurgårdens IF
Erton;Fejzullahu;13;2;9;1;2;0;1047;-;-;Djurgårdens IF
Philip;Hellquist;18;15;2;0;0;0;346;-;-;Djurgårdens IF
Sebastian;Andersson;13;2;6;0;1;0;991;-;-;Djurgårdens IF
Tim;Söderström;-;-;-;-;-;-;-;-;-;Djurgårdens IF
