P ;First name;Last name;Born ;Height ;Weight ;Contract ;Team
GK;Kyriakos;Stamatopoulos;1979-08-28;188;80;2017-11-30;AIK
GK;Lee;Baxter;1976-06-17;187;87;;AIK
GK;Patrik;Carlgren;1992-01-08;188;84;2016-11-30;AIK
D;Alexander;Milosevic;1992-01-30;191;80;2018-06-30;AIK
D;Edward;Owusu;1994-01-13;184;79;2017-11-30;AIK
D;Martin;Lorentzson;1984-07-21;179;72;2016-06-30;AIK
D;Nils-Eric;Johansson;1980-01-13;187;88;2017-11-30;AIK
D;Noah;Sonko-Sundberg;1996-06-06;188;83;2016-11-30;AIK
D;Per;Karlsson;1986-01-02;184;81;2017-11-30;AIK
D;Sauli;Väisänen;1994-06-05;191;79;2017-12-31;AIK
M;Anton;Salétros;1996-04-12;183;73;2016-07-31;AIK
M;Celso;Borges;1988-05-27;186;75;2017-06-30;AIK
M;Ebenezer;Ofori;1995-07-01;172;69;2017-11-30;AIK
M;Gabriel;Ferreyra;1994-02-03;182;77;2018-11-30;AIK
M;Ibrahim;Moro;1993-11-10;177;71;;AIK
M;Kenny;Pavey;1979-08-23;178;77;2016-11-30;AIK
M;Lalawele;Atakora;1990-11-09;168;62;;AIK
M;Marko;Nikolic;1997-09-17;183;73;2016-11-30;AIK
M;Nabil;Bahoui;1991-02-05;188;85;2018-06-30;AIK
M;Nicklas;Maripuu;1992-03-02;188;82;2016-11-30;AIK
M;Niclas;Eliasson;1995-12-07;178;66;2017-11-30;AIK
M;Panajotis;Dimitriadis;1986-08-12;182;78;2018-11-30;AIK
M;Robin;Quaison;1993-10-09;180;73;2017-06-30;AIK
M;Sam;Lundholm;1994-07-01;181;69;2018-06-30;AIK
F;Eero;Markkanen;1991-07-03;197;97;2018-11-30;AIK
F;Henok;Goitom;1984-09-22;189;86;2015-11-30;AIK
F;Ibrahim;Teteh-Bangura;1989-12-27;180;76;2016-06-30;AIK
F;Kennedy;Igboananike;1989-02-08;175;70;;AIK
F;Kwame;Karikari;1992-01-21;190;83;2016-11-30;AIK
GK;Christoffer;Källqvist;1983-08-26;193;96;2018-11-30;BK Häcken
GK;Dime;Jankulovski;1977-06-18;188;90;;BK Häcken
GK;Peter;Abrahamsson;1988-07-18;190;85;2016-11-30;BK Häcken
GK;Teodor;Söderberg;1995-02-03;185;72;;BK Häcken
D;Björn;Anklev;1979-04-13;174;70;2016-11-30;BK Häcken
D;David;Frölund;1979-06-04;173;73;;BK Häcken
