STA;INB;UTB;MÅL;SPM;STM;FRM;HÖM;PAS;POÄ;VAR;UTV;OFF;ORS;TIS;ORF;TIF;SKO;SKM;SKS;Team;First name;Last name
26;0;3;6;4;1;0;0;9;15;5;0;5;0;0;29;32;34;23;3;AIK;Celso;Borges
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Lee;Baxter
22;1;4;2;2;0;0;0;4;6;8;0;1;0;0;46;21;25;6;0;AIK;Ibrahim;Moro
5;7;3;1;1;0;0;0;1;2;0;0;3;0;0;5;12;12;8;0;AIK;Sam;Lundholm
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Teteh;Bangura
9;5;8;6;4;0;0;0;1;7;1;0;5;0;0;15;7;25;13;0;AIK;Eero;Markkanen
22;1;12;1;1;0;0;0;4;5;4;0;0;0;0;21;14;30;9;0;AIK;Ebenezer;Ofori
4;2;1;0;0;0;0;0;0;0;0;1;0;0;0;6;3;2;1;0;AIK;Sauli;Väisänen
5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;6;16;6;4;0;AIK;Panajotis;Dimitriadis
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;AIK;Patrik;Carlgren
1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;AIK;Lalawele;Atakora
0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;AIK;Kwame;Karikari
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Edward;Owusu
27;1;10;12;11;0;0;0;4;16;2;0;21;0;0;24;34;67;43;1;AIK;Henok;Goitom
3;12;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2;1;0;AIK;Anton;Salétros
0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;AIK;Marko;Nikolic
8;2;2;1;1;0;0;0;3;4;1;0;0;0;0;12;9;27;11;0;AIK;Robin;Quaison
4;1;0;1;0;0;0;0;0;1;1;0;0;0;0;4;1;1;1;0;AIK;Noah;Sonko-Sundberg
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;AIK;Gabriel;Ferreyra
6;10;6;1;1;0;0;0;0;1;0;0;1;0;0;1;13;9;5;0;AIK;Niclas;Eliasson
26;0;0;0;0;0;0;0;1;1;2;1;0;0;0;18;15;1;0;0;AIK;Per;Karlsson
8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;AIK;Kyriakos;Stamatopoulos
6;13;5;1;0;0;0;0;2;3;6;0;4;0;0;20;6;10;2;0;AIK;Kenny;Pavey
27;0;0;2;1;0;0;0;3;5;6;0;2;1;0;33;26;13;6;0;AIK;Nils-Eric;Johansson
28;0;8;3;1;0;0;0;2;5;2;0;1;1;0;18;14;14;9;0;AIK;Martin;Lorentzson
26;0;3;14;11;0;1;0;7;21;4;0;4;0;1;36;30;90;49;2;AIK;Nabil;Bahoui
17;9;11;5;5;0;0;0;3;8;0;0;17;0;0;14;30;58;22;2;AIK;Kennedy;Igboananike
27;0;1;3;1;0;0;0;2;5;3;0;0;0;0;26;14;16;6;0;AIK;Alexander;Milosevic
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Nicklas;Maripuu
25;1;7;7;5;2;0;0;7;14;6;0;2;0;0;38;26;28;15;2;BK Häcken;Martin;Ericsson
23;1;1;1;1;0;0;0;3;4;3;0;1;0;0;25;14;11;6;0;BK Häcken;David;Frölund
1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;BK Häcken;Fredrik;Björck
30;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;5;0;0;0;BK Häcken;Christoffer;Källqvist
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Hosam;Aiesh
11;10;7;3;3;0;0;0;3;6;1;0;0;0;0;9;15;11;6;0;BK Häcken;Samuel;Gustafson
26;2;6;10;10;0;0;0;5;15;7;0;5;0;0;28;49;67;34;3;BK Häcken;Simon;Gustafson
4;15;3;6;5;0;0;0;5;11;0;0;11;0;0;9;8;26;14;2;BK Häcken;Carlos;Strandberg
8;9;7;3;3;0;0;0;1;4;1;0;11;0;0;15;15;25;16;1;BK Häcken;Alexander;Jeremejeff
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Sula;Matovu
16;8;8;8;8;0;0;0;3;11;1;0;9;0;1;10;21;32;12;1;BK Häcken;Nasiru;Mohammed
0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Sebastian;Ohlsson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Egzon;Binak
24;1;5;1;1;0;0;0;5;6;0;0;1;0;0;25;17;10;3;0;BK Häcken;Kari;Arkivuo
0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;BK Häcken;Ronald;Mukiibi
27;0;5;0;0;0;0;0;2;2;6;0;2;0;0;44;26;17;2;1;BK Häcken;Oscar;Lewicki
13;6;0;0;0;0;0;0;1;1;3;1;1;0;0;13;7;3;3;0;BK Häcken;Leonard;Zuta
9;1;8;7;7;0;0;0;1;8;4;0;12;0;1;12;15;23;13;0;BK Häcken;Moestafa;El-Kabir
